"Cibola Survey, 2012",,,,,diamater at 30 cm (cm),
Block,Survey Date,Individual Genotype,Treatment,Number of Genotypes,Trunk 1 diameter (cm),trunk 2 diameter (cm)
10,41028,CNWR,CNWR,1,15,
10,41028,OV,OV,1,5.5,
10,41028,OV,OV,1,10,
10,41028,OV,OV,1,13,
10,41028,HNWR,HNWR,1,26,
10,41028,HNWR,HNWR,1,13,
10,41028,OV,OV,1,9,
10,41028,OV,OV,1,13.9,
10,41028,OV,OV,1,5,
10,41028,OV,OV,1,10.5,
10,41028,HP,16,16,28,
10,41028,SP,16,16,DEAD,
10,41028,B161,16,16,12.8,
10,41028,CNWR,16,16,5.9,
10,41028,HNWR,HNWR,1,29.4,
10,41028,HNWR,HNWR,1,22,
10,41028,HNWR,HNWR,1,28,
10,41028,CNWR,CNWR,1,24,
10,41028,OV,OV,1,9,
10,41028,OV,OV,1,10.9,
10,41028,OV,OV,1,24.5,
10,41028,NCC,NCC,1,5.5,
10,41028,HNWR,2,2,33.8,
10,41028,FC,2,2,19.7,
10,41028,HNWR,2,2,24,
10,41028,FC,2,2,24.6,
10,41028,NCC,NCC,1,8,
10,41028,FC,2,2,16.2,
10,41028,HNWR,2,2,19.8,
10,41028,HNWR,2,2,20.2,
10,41028,HNWR,2,2,24.2,
10,41028,NCC,NCC,1,5.9,
10,41028,GR,GR,1,24.5,
10,41028,FC,2,2,10.9,
10,41028,FC,2,2,27.5,
10,41028,NCC,NCC,1,7.5,
10,41028,GR,GR,1,22,
10,41028,GR,GR,1,19.2,
10,41028,HNWR,2,2,21.7,
10,41028,MC,MC,1,14.1,
10,41028,MC,MC,1,21,
10,41028,FR,FR,1,12.3,
10,41028,FR,FR,1,17.4,
10,41028,HP,HP,1,36.2,
10,41028,HP,HP,1,38.8,
10,41028,HP,HP,1,18.5,
10,41028,MC,MC,1,15.2,
10,41028,MC,MC,1,18.2,
10,41028,MC,MC,1,18,
10,41028,FR,FR,1,15.9,
10,41028,HP,HP,1,31.8,
10,41028,HP,HP,1,21.4,
10,41028,HP,HP,1,29.8,
10,41028,B161,B161,1,9.5,
10,41028,MC,MC,1,10.4,
10,41028,MC,MC,1,23,
10,41028,MC,MC,1,15.6,
10,41028,FR,FR,1,DEAD,
10,41028,HP,HP,1,29.3,
10,41028,HP,HP,1,21,
10,41028,HP,HP,1,31.4,
10,41028,B161,B161,1,7.1,
10,41028,B161,B161,1,9.8,
10,41028,MC,MC,1,14.1,
10,41028,MC,MC,1,13.6,
10,41028,MC,MC,1,18.7,
10,41028,MC,MC,1,DEAD,
10,41028,FR,FR,1,28.9,
11,41028,MC,2,2,8.4,
11,41028,CNWR,CNWR,1,17.9,
11,41028,FC,8,8,25.3,
11,41028,CW,2,2,15,19.5
11,41028,CW,2,2,Dead,
11,41028,BD,8,8,12.8,
11,41028,CNWR,8,8,9.6,
11,41028,CNWR,CNWR,1,24.5,
11,41028,CNWR,CNWR,1,21,
11,41028,FR,FR,1,9,
11,41028,CW,CW,1,24.8,
11,41028,FR,FR,1,8.5,
11,41028,FR,FR,1,13.8,
11,41028,B161,B161,1,5.8,
11,41028,CW,CW,1,31,
11,41028,OR,OR,1,Dead,
11,41028,OR,OR,1,Dead,
11,41028,FR,4,4,18.7,
11,41028,FC,FC,1,26.3,
11,41028,FC,FC,1,26.5,
11,41028,FC,FC,1,17.1,
11,41028,GR,16,16,17.5,
11,41028,PNWR,16,16,19.9,
11,41028,OV,4,4,Dead,
11,41028,FC,FC,1,17.5,
11,41028,FC,FC,1,22,
11,41028,OR,16,16,7.1,
11,41028,HP,16,16,26.8,
11,41028,FC,FC,1,21.5,
11,41028,FC,FC,1,23.6,
11,41028,FC,FC,1,23.9,
11,41028,FC,FC,1,25.2,
11,41028,FC,FC,1,22.8,14
11,41028,HNWR,16,16,24,
11,41028,BD,BD,1,21.5,
11,41028,HP,HP,1,23.8,
11,41028,HP,,,21.8,
11,41028,PNWR,PNWR,1,13.3,
11,41028,PNWR,PNWR,1,19.7,
11,41028,BD,BD,1,15.6,
11,41028,BD,BD,1,10,
11,41028,BD,BD,1,18,
11,41028,HP,HP,1,21.5,
11,41028,PNWR,PNWR,1,13,
11,41028,PNWR,PNWR,1,19.3,
11,41028,GR,GR,1,24.5,
11,41028,HP,HP,1,15,
11,41028,HP,HP,1,15,
11,41028,BD,BD,1,15.8,
11,41028,HP,HP,1,25.5,
11,41028,PNWR,PNWR,1,15.8,
11,41028,PNWR,PNWR,1,16.3,
11,41028,MC,MC,1,14.2,
11,41028,MC,MC,1,15.2,
11,41028,SP,SP,1,14.7,
11,41028,HNWR,HNWR,1,28.4,
11,41028,HNWR,HNWR,1,26.2,
11,41028,HNWR,HNWR,1,26.1,
11,41028,MC,MC,1,18.5,
11,41028,MC,MC,1,18.3,
11,41028,MC,MC,1,19.5,
11,41028,HNWR,HNWR,1,6.9,
11,41028,HNWR,HNWR,1,21.1,
11,41028,HNWR,HNWR,1,21.6,
11,41028,MC,MC,1,15.2,
11,41028,SP,SP,1,16,
11,41028,SP,SP,1,22,
11,41028,HNWR,HNWR,1,27.3,
11,41028,HNWR,HNWR,1,27.1,
11,41028,MC,MC,1,13.5,
11,41028,MC,MC,1,10.9,
11,41028,SP,SP,1,7.3,
11,41028,SP,SP,1,19.8,
11,41028,SP,SP,1,27,
11,41028,HNWR,HNWR,1,24,
11,41028,HNWR,HNWR,1,21.9,
11,41028,HNWR,HNWR,1,13.4,
12,41028,HP,HP,1,18.7,
12,41028,HP,HP,1,28.9,
12,41028,MC,MC,1,20.2,
12,41028,MC,MC,1,14.4,
12,41028,MC,MC,1,19.6,
12,41028,HP,HP,1,22.4,
12,41028,HP,HP,1,11.6,
12,41028,HP,HP,1,17.2,
12,41028,MC,MC,1,12.5,
12,41028,MC,MC,1,18.7,
12,41028,MC,MC,1,20.5,
12,41028,GR,GR,1,10.3,
12,41028,HP,HP,1,25,
12,41028,HP,HP,1,19.5,
12,41028,HP,HP,1,31.4,
12,41028,HP,HP,1,26.3,
12,41028,MC,MC,1,18.4,
12,41028,MC,MC,1,14.2,
12,41028,MC,MC,1,17.6,
12,41028,GR,GR,1,15.6,
12,41028,MC,MC,1,13.5,
12,41028,MC,MC,1,16.8,
12,41028,MC,MC,1,17,
12,41028,GR,GR,1,13.4,
12,41028,FR,FR,1,13.2,
12,41028,HNWR,8,8,20.7,
12,41028,HNWR,8,8,25.2,
12,41028,HNWR,2,2,16.2,
12,41028,CNWR,8,8,23.1,
12,41028,BD,8,8,8.5,
12,41028,BD,8,8,8.7,
12,41028,FR,FR,1,11.2,
12,41028,FR,FR,1,13.4,
12,41028,BD,BD,1,11.5,
12,41028,HP,8,8,18.9,
12,41028,CNWR,8,8,21.3,
12,41028,FR,FR,1,14.7,
12,41028,FR,FR,1,11.4,
12,41028,BD,BD,1,2.3,
12,41028,BD,BD,1,18.1,
12,41028,PNWR,8,8,11.8,
12,41028,HP,8,8,25.1,
12,41028,SP,8,8,20.3,
12,41028,CW,4,4,26.9,
12,41028,CNWR,4,4,22.7,
12,41028,FC,FC,1,17.4,
12,41028,FC,FC,1,16.7,
12,41028,FC,FC,1,3.7,
12,41028,FC,FC,1,15,
12,41028,NCC,4,4,11.1,
12,41028,CW,4,4,25.2,
12,41028,B161,B161,1,9.5,
12,41028,PNWR,PNWR,1,17.1,
12,41028,FC,FC,1,19.7,
12,41028,FC,FC,1,18.5,
12,41028,FC,FC,1,23.5,
12,41028,CW,4,4,24.6,
12,41028,FR,4,4,19.5,
12,41028,PNWR,PNWR,1,12.2,
12,41028,FC,FC,1,12.4,
12,41028,FC,FC,1,14.2,
12,41028,CNWR,4,4,23.8,
12,41028,NCC,4,4,2.7,
12,41028,B161,B161,1,9.6,
12,41028,PNWR,PNWR,1,13.9,
12,41028,FC,FC,1,11.1,
12,41028,FC,FC,1,27.2,
12,41028,FC,FC,1,12.8,
12,41028,CNWR,CNWR,1,18.7,
12,41028,CNWR,CNWR,1,24.8,
12,41028,SP,SP,1,20.6,
12,41028,CNWR,CNWR,1,4.5,
12,41028,CNWR,CNWR,1,17.3,
12,41028,SP,SP,1,22.4,
12,41028,OR,OR,1,3.5,
12,41028,CNWR,CNWR,1,19.4,
12,41028,CNWR,CNWR,1,23.3,
12,41028,CNWR,CNWR,1,16.5,
12,41028,CNWR,CNWR,1,24.6,
12,41028,CNWR,CNWR,1,27.1,
12,41028,SP,SP,1,17.1,
12,41028,HNWR,HNWR,1,28.7,
12,41028,HNWR,HNWR,1,23.9,
12,41028,HNWR,HNWR,1,24.3,
12,41028,HNWR,HNWR,1,28.7,
12,41028,FR,16,16,8.6,
12,41028,CW,16,16,28.7,
12,41028,HNWR,HNWR,1,25.1,
12,41028,HNWR,HNWR,1,23.4,
12,41028,HNWR,HNWR,1,22.4,
12,41028,FC,16,16,20.4,
12,41028,HNWR,16,16,23.7,
12,41028,MC,16,16,10.4,
12,41028,HNWR,HNWR,1,24.1,
12,41028,HNWR,HNWR,1,19.3,
12,41028,SP,16,16,12.7,
12,41028,BD,16,16,9.8,
12,41028,OV,OV,1,6.8,
12,41028,CW,CW,1,25.5,
12,41028,NCC,NCC,1,DEAD,
12,41028,OV,8,8,DEAD,
12,41028,KT,8,8,DEAD,
13,41028,HP,HP,1,18.4,
13,41028,HP,HP,1,21.9,
13,41028,CW,8,8,17.5,
13,41028,MC,MC,1,17.6,
13,41028,HP,HP,1,20.5,
13,41028,HP,HP,1,22.9,
13,41028,MC,MC,1,17.1,
13,41028,KT,KT,1,dead,
13,41028,MC,MC,1,13.6,
13,41028,KT,KT,1,dead,
13,41028,CNWR,8,8,13.1,
13,41028,PNWR,8,8,17.8,
13,41028,CW,8,8,17.8,
13,41028,MC,MC,1,13.5,
13,41028,KT,KT,1,10.9,
13,41028,HP,16,16,13.1,
13,41028,CW,CW,1,24,
13,41028,NCC,NCC,1,7.7,
13,41028,HNWR,4,4,21.1,
13,41028,HNWR,4,4,24,
13,41028,NCC,NCC,1,7.4,
13,41028,CW,16,16,15.5,
13,41028,CW,4,4,23.5,
13,41028,CW,CW,1,16.6,
13,41028,CW,CW,1,17,
13,41028,CW,CW,1,22.3,
13,41028,CW,CW,1,17.5,
13,41028,OR,OR,1,10.5,
13,41028,B161,B161,1,10.9,
13,41028,B161,B161,1,4,
13,41028,B161,B161,1,5.5,
13,41028,PNWR,PNWR,1,22.7,
13,41028,PNWR,PNWR,1,19.1,
13,41028,PNWR,PNWR,1,18.1,
13,41028,PNWR,PNWR,1,23.2,
13,41028,PNWR,PNWR,1,15,
13,41028,OR,OR,1,5,
13,41028,OR,OR,1,12,
13,41028,PNWR,PNWR,1,24.6,
13,41028,PNWR,PNWR,1,30.5,
13,41028,OR,OR,1,13.9,
13,41028,B161,B161,1,11,
13,41028,PNWR,PNWR,1,26.6,
13,41028,OV,OV,1,12.3,
13,41028,HNWR,HNWR,1,8.2,
13,41028,FC,FC,1,29.4,
13,41028,OV,OV,1,11.5,
13,41028,HNWR,HNWR,1,27.2,
13,41028,FC,FC,1,18.3,
13,41028,FC,FC,1,27.4,
13,41028,CNWR,CNWR,1,30.7,
13,41028,OV,OV,1,9.6,
13,41028,HNWR,HNWR,1,25.5,
13,41028,FC,FC,1,27.5,
13,41028,CNWR,CNWR,1,35.5,
13,41028,OV,OV,1,8,
13,41028,FC,FC,1,16,
13,41028,FC,FC,1,26.3,
13,41028,FC,FC,1,24.3,
13,41028,CNWR,CNWR,1,13.3,
13,41028,CNWR,CNWR,1,27.6,
13,41028,CNWR,CNWR,1,27.1,
13,41028,FC,2,2,30.4,
13,41028,SP,SP,1,20.9,
13,41028,SP,SP,1,27,
13,41028,BD,BD,1,15.5,
13,41028,FC,2,2,29.3,
13,41028,SP,SP,1,20.7,
13,41028,BD,BD,1,13.6,
13,41028,BD,BD,1,12.5,
13,41028,BD,BD,1,13.7,
13,41028,SP,SP,1,23,
13,41028,BD,BD,1,16.5,
13,41028,BD,BD,1,12.8,
13,41028,BD,BD,1,17.6,
13,41028,BD,BD,1,13.3,
13,41028,GR,GR,1,28.8,
13,41028,FC,2,2,28,
13,41028,SP,SP,1,15,
13,41028,SP,SP,1,10.2,
13,41028,BD,BD,1,12.5,
13,41028,BD,BD,1,13.3,
13,41028,BD,BD,1,10.6,
13,41028,OR,16,16,dead,
13,41028,KT,KT,1,dead,
13,41028,KT,KT,1,dead,
13,41028,OR,4,4,dead,
13,41028,OR,4,4,dead,
13,41028,NCC,NCC,1,dead,
13,41028,OR,16,16,dead,
13,41028,NCC,NCC,1,dead,
13,41028,CW,CW,1,dead,
13,41028,NCC,NCC,1,dead,
13,41028,NCC,16,16,dead,
13,41028,NCC,NCC,1,dead,
13,41028,OR,OR,1,dead,
13,41028,OV,OV,1,dead,
13,41028,HNWR,HNWR,1,dead,
14,41028,FC,FC,1,27.5,
14,41028,GR,GR,1,28,
14,41028,FR,FR,1,1.5,
14,41028,BD,BD,1,1.3,1.5
14,41028,B161,B161,1,9.7,
14,41028,B161,B161,1,9.8,
14,41028,FC,FC,1,33.3,
14,41028,FC,FC,1,23.5,
14,41028,FC,FC,1,21.8,
14,41028,FC,FC,1,32.4,
14,41028,OR,OR,1,12.2,
14,41028,FR,FR,1,1.3,1.5
14,41028,FR,FR,1,10.5,
14,41028,B161,B161,1,14,
14,41028,BD,BD,1,17.6,
14,41028,OR,OR,1,8.3,
14,41028,BD,BD,1,16.1,
14,41028,B161,B161,1,1.6,
14,41028,B161,B161,1,10.4,
14,41028,FC,FC,1,26.7,
14,41028,FC,FC,1,23.6,
14,41028,FC,FC,1,4,
14,41028,OR,OR,1,21.3,
14,41028,BD,BD,1,17,
14,41028,B161,B161,1,13.6,
14,41028,MC,MC,1,20,
14,41028,GR,GB,1,17.9,
14,41028,NCC,NCC,1,8.5,
14,41028,FC,FC,1,38.8,
14,41028,MC,MC,1,19.7,
14,41028,GR,GB,1,24.6,
14,41028,BD,BD,1,16.6,
14,41028,MC,MC,1,21.7,
14,41028,GR,GR,1,19.9,
14,41028,GR,GR,1,9.3,
14,41028,MC,MC,1,3.8,
14,41028,BD,BD,1,9.4,
14,41028,OV,OV,1,3.6,
14,41028,FC,FC,1,28.7,
14,41028,HNWR,HNWR,1,24.3,
14,41028,PNWR,PNWR,1,24.6,
14,41028,PNWR,PNWR,1,15.5,
14,41028,OR,OR,1,8.7,
14,41028,FR,FR,1,9.8,2.2
14,41028,HP,HP,1,31.1,
14,41028,HP,HP,1,25.2,
14,41028,HP,HP,1,28,
14,41028,PNWR,PNWR,1,24.7,
14,41028,SP,SP,1,18.5,
14,41028,PNWR,PNWR,1,16.4,
14,41028,OV,OV,1,5.5,
14,41028,HP,HP,1,26.5,
14,41028,CW,CW,1,20.1,
14,41028,CNWR,CNWR,1,26.9,
14,41028,FC,FC,1,29,
14,41028,HP,HP,1,20.8,
14,41028,BD,BD,1,16,
14,41028,HP,HP,1,25.8,
14,41028,HNWR,HNWR,1,35.8,
14,41028,OV,OV,1,11.3,
14,41028,OR,OR,1,9.9,
14,41028,BD,BD,1,16,
14,41028,BD,BD,1,1,
14,41028,BD,BD,1,18.5,
14,41028,OV,OV,1,5.8,
14,41028,BD,BD,1,18,
14,41028,BD,BD,1,12.7,
14,41028,BD,BD,1,18,
14,41028,BD,BD,1,8.8,
14,41028,HNWR,HNWR,1,28.4,
14,41028,OV,OV,1,2.2,
14,41028,OV,OV,1,16.5,
14,41028,BD,BD,1,21.7,
14,41028,BD,BD,1,19.1,
14,41028,BD,BD,1,25.5,
14,41028,BD,BD,1,8.1,
14,41028,HNWR,HNWR,1,32.3,
14,41028,OV,OV,1,13.2,
14,41028,OV,OV,1,5,
14,41028,OV,OV,1,3.2,
14,41028,OV,OV,1,10.2,
14,41028,OR,OR,1,6.1,
14,41028,BD,BD,1,15.6,
14,41028,SP,SP,1,30.2,
14,41028,CW,CW,1,1,
14,41028,KT,KT,1,10.8,
14,41028,CNWR,CNWR,1,26.3,
14,41028,CNWR,CNWR,1,20.2,
14,41028,CNWR,CNWR,1,22.1,
14,41028,CNWR,CNWR,1,21.9,
14,41028,CNWR,CNWR,1,23.3,
14,41028,CNWR,CNWR,1,23.2,
14,41028,CNWR,CNWR,1,17.4,
14,41028,CNWR,CNWR,1,23.8,
14,41028,CNWR,CNWR,1,24,
14,41028,CNWR,CNWR,1,23.7,
14,41028,CNWR,CNWR,1,22.1,
14,41028,KT,KT,1,DEAD,
15,41028,HNWR,hnwr,1,19.8,
15,41028,HNWR,hnwr,1,19.3,
15,41028,HNWR,hnwr,1,24.5,
15,41028,NCC,ncc,1,DEAD,
15,41028,OR,OR,1,13.5,
15,41028,OR,OR,1,DEAD,
15,41028,OR,OR,1,12.8,
15,41028,OR,OR,1,11.4,
15,41028,HNWR,hnwr,1,9.5,
15,41028,HNWR,hnwr,1,22.5,
15,41028,HNWR,hnwr,1,15.8,
15,41028,NCC,ncc,1,21.1,
15,41028,NCC,ncc,1,10,
15,41028,NCC,ncc,1,8.75,
15,41028,OR,OR,1,9.2,
15,41028,OR,OR,1,12.9,
15,41028,OR,OR,1,11.4,
15,41028,OR,OR,1,8.4,
15,41028,HNWR,hnwr,1,18.4,
15,41028,HNWR,hnwr,1,20.1,
15,41028,HNWR,hnwr,1,17.1,
15,41028,NCC,ncc,1,9.7,
15,41028,HNWR,hnwr,1,DEAD,
15,41028,NCC,ncc,1,DEAD,
15,41028,OR,OR,1,11.3,
15,41028,OR,OR,1,19.4,
15,41028,OR,OR,1,13,
15,41028,OR,OR,1,7.1,
15,41028,HNWR,hnwr,1,22,
15,41028,HNWR,hnwr,1,17,
15,41028,HNWR,hnwr,1,27,
15,41028,NCC,ncc,1,6.2,
15,41028,NCC,ncc,1,9.6,
15,41028,NCC,ncc,1,9.7,
15,41028,OR,OR,1,11.8,
15,41028,OR,OR,1,13,
15,41028,OR,OR,1,10.6,
15,41028,OR,OR,1,10,
15,41028,MC,mc,1,13.5,
15,41028,GR,gr,1,14.9,
15,41028,GR,gr,1,21.8,
15,41028,OV,ov,1,7.7,
15,41028,OV,ov,1,10.4,
15,41028,OV,ov,1,12.4,
15,41028,FC,8,8,30.2,
15,41028,B161,8,8,3.8,
15,41028,MC,mc,1,15.5,
15,41028,MC,mc,1,25.1,
15,41028,MC,mc,1,14,
15,41028,GR,gr,1,11.4,
15,41028,GR,gr,1,12.4,
15,41028,OV,ov,1,14,
15,41028,OV,ov,1,13.6,
15,41028,GR,gr,1,DEAD,
15,41028,HNWR,8,8,33.4,
15,41028,OR,8,8,11.6,
15,41028,HNWR,8,8,33.4,
15,41028,OV,ov,1,6.5,
15,41028,MC,mc,1,20.4,
15,41028,MC,mc,1,15.3,
15,41028,GR,gr,1,17.8,
15,41028,GR,gr,1,21.7,
15,41028,OV,ov,1,6.5,
15,41028,FR,8,8,13.1,
15,41028,MC,mc,1,21,
15,41028,MC,mc,1,9.3,
15,41028,GR,gr,1,24.1,18.5
15,41028,GR,gr,1,20.9,
15,41028,CNWR,8,8,27.4,
15,41028,HP,16,16,31.2,
15,41028,SP,sp,1,19.1,
15,41028,SP,sp,1,17.5,
15,41028,FC,fc,1,23,
15,41028,FR,16,16,20.5,
15,41028,SP,16,16,12,
15,41028,FC,fc,1,34.5,
15,41028,PNWR,4,4,23.9,
15,41028,PNWR,4,4,DEAD,
15,41028,FC,fc,1,27.7,
15,41028,B161,16,16,12.7,
15,41028,FC,16,16,20.6,
15,41028,SP,sp,1,29.5,
15,41028,SP,4,4,28.1,
15,41028,OV,2,2,12.2,
15,41028,HP,hp,1,26.4,
15,41028,HP,hp,1,34.8,
15,41028,HP,hp,1,11.3,9.1
15,41028,BD,BD,1,21.3,7.1
15,41028,BD,BD,1,18,
15,41028,BD,BD,1,DEAD,
15,41028,OV,2,2,8.1,7.5
15,41028,GR,2,2,19.2,
15,41028,HP,hp,1,19.5,
15,41028,HP,hp,1,24.4,
15,41028,HP,hp,1,17.3,
15,41028,HP,hp,1,38.6,
15,41028,BD,BD,1,21.1,
15,41028,HP,hp,1,22,
15,41028,HP,hp,1,23.6,
15,41028,HP,hp,1,26,9.4
15,41028,B161,b161,1,9.1,
15,41028,BD,BD,1,12,
15,41028,HP,hp,1,21,
15,41028,HP,hp,1,21,
15,41028,HP,hp,1,22.1,
15,41028,HP,hp,1,33,
15,41028,B161,b161,1,14.2,
15,41028,BD,BD,1,20.8,
15,41028,CW,cw,1,19.5,18
15,41028,CW,cw,1,18.3,13.7
15,41028,CW,cw,1,11.1,
15,41028,CNWR,cnwr,1,20.3,
15,41028,CNWR,cnwr,1,15.8,
15,41028,CNWR,cnwr,1,23.4,
15,41028,PNWR,PNWR,1,11.6,
15,41028,PNWR,PNWR,1,21.3,
15,41028,CW,cw,1,18.2,
15,41028,CW,cw,1,17.5,
15,41028,CW,cw,1,18.2,
15,41028,CW,cw,1,11,
15,41028,CNWR,cnwr,1,27.1,
15,41028,CNWR,cnwr,1,26.5,
15,41028,PNWR,PNWR,1,21.1,
15,41028,PNWR,PNWR,1,23.5,11.7
15,41028,PNWR,PNWR,1,16.9,
15,41028,CW,cw,1,15,9.5
15,41028,CW,cw,1,13.7,
15,41028,CW,cw,1,20.5,
15,41028,CNWR,cnwr,1,24,
15,41028,PNWR,PNWR,1,21,
15,41028,PNWR,PNWR,1,13.6,
15,41028,PNWR,PNWR,1,21.4,
15,41028,CW,cw,1,20,
15,41028,CW,cw,1,19,
15,41028,CW,cw,1,15.2,
15,41028,CW,cw,1,15.5,
15,41028,CNWR,cnwr,1,18.6,
15,41028,CNWR,cnwr,1,18.5,
15,41028,PNWR,PNWR,1,14.5,
16,41028,FC,FC,1,26,
16,41028,FC,FC,1,25,
16,41028,FC,FC,1,20,
16,41028,FC,FC,1,22.9,
16,41028,FC,FC,1,21,
16,41028,FC,FC,1,34.5,
16,41028,FC,FC,1,20,
16,41028,FC,FC,1,Dead,
16,41028,FC,FC,1,17.5,
16,41028,PNWR,PNWR,1,19,
16,41028,PNWR,PNWR,1,12.6,
16,41028,PNWR,PNWR,1,13,
16,41028,PNWR,PNWR,1,14,
16,41027,PNWR,PNWR,1,20.8,
16,41028,CNWR,CNWR,1,24.4,
16,41028,CNWR,CNWR,1,16.9,
16,41028,CNWR,CNWR,1,14.6,
16,41028,SP,2,2,20.4,
16,41028,OV,OV,1,Dead,
16,41028,BD,BD,1,Dead,
16,41028,BD,BD,1,14.5,
16,41028,BD,BD,1,14.5,
16,41028,BD,BD,1,11.1,
16,41028,BD,BD,1,17.3,
16,41028,BD,BD,1,6.7,
16,41028,BD,BD,1,11.85,
16,41028,FC,4,4,22.3,
16,41027,OR,4,4,11.15,
16,41028,FC,4,4,Dead,
16,41028,NCC,NCC,1,32.5,
16,41028,KT,KT,1,Dead,
16,41028,OR,OR,1,6,
16,41028,OR,OR,1,5.9,
16,41028,OR,OR,1,7,
16,41028,OR,OR,1,Dead,
16,41028,OR,OR,1,dead,
16,41028,OR,OR,1,7.5,
16,41028,OR,OR,1,10.9,
16,41028,SP,SP,1,7.4,
16,41028,SP,SP,1,15.7,
16,41028,SP,SP,1,DEAD,
16,41027,FR,FR,1,DEAD,
16,41028,FR,FR,1,3.8,
16,41028,HP,HP,1,16.5,
16,41028,HP,HP,1,14,
16,41028,HP,HP,1,16,
16,41028,CW,CW,1,DEAD,
16,41028,CW,CW,1,DEAD,
16,41028,CW,CW,1,DEAD,
16,41028,CW,CW,1,DEAD,
16,41028,HP,HP,1,14.8,
16,41028,HP,HP,1,9,
16,41028,CW,CW,1,16.8,
16,41028,HP,HP,1,21.2,
16,41028,HP,HP,1,15,
16,41027,CW,CW,1,10,
16,41028,HP,HP,1,21,
16,41028,HP,HP,1,22.6,
16,41028,HP,HP,1,24.4,
16,41028,HP,HP,1,23.5,
16,41028,HNWR,HNWR,1,13,
16,41028,HNWR,HNWR,1,17.5,
16,41028,GR,2,2,14.2,
16,41028,B161,2,2,2.9,
16,41028,HNWR,HNWR,1,17.8,
16,41028,HNWR,HNWR,1,22,
16,41028,CW,2,2,19.3,
16,41028,HNWR,HNWR,1,15,
16,41028,HNWR,HNWR,1,15.5,
16,41027,HNWR,HNWR,1,20,
16,41028,GR,2,2,10.7,
16,41028,MC,2,2,16.85,
16,41028,BD,2,2,10.2,
16,41028,HNWR,HNWR,1,26,
16,41028,HNWR,HNWR,1,23,
16,41028,HNWR,HNWR,1,24.5,
16,41028,KT,2,2,DEAD,
16,41028,MC,2,2,14,
16,41028,FC,1,1,20.9,
16,41028,CNWR,1,1,25.1,
16,41028,NCC,1,1,DEAD,
16,41028,HNWR,1,1,29.75,
16,41028,GR,GR,1,11,
16,41027,GR,Gr,1,15.4,
16,41028,GR,1,1,DEAD,
16,41028,PNWR,1,1,DEAD,
16,41028,MC,1,1,22.8,
16,41028,BD,1,1,DEAD,
16,41028,MC,MC,1,19.4,
16,41028,B161,b161,1,8,
16,41028,MC,MC,1,16,
16,41028,MC,MC,1,15.9,
16,41028,MC,MC,1,17.7,
16,41028,B161,B161,1,14.2,
16,41028,MC,MC,1,18,
16,41028,MC,MC,1,15.75,
16,41028,MC,MC,1,18.5,
16,41027,MC,MC,1,17.4,
16,41028,MC,MC,1,DEAD,
16,41028,MC,MC,1,24.8,
17,,PNWR,PNWR,1,15.4,
17,,OR,OR,1,3.2,
17,,OR,OR,1,12.1,
17,,OR,OR,1,3.25,
17,,OR,OR,1,13.5,
17,,CW,CW,1,18.75,
17,,PNWR,PNWR,1,DEAD,
17,,PNWR,PNWR,1,3.75,
17,,OR,OR,1,9.5,
17,,CW,CW,1,DEAD,
17,,FC,8,8,DEAD,
17,,PNWR,PNWR,1,11.5,
17,,OR,OR,1,10.2,
17,,OR,OR,1,DEAD,
17,,CW,CW,1,31.6,
17,,MC,8,8,24.5,
17,,PNWR,PNWR,1,14.5,
17,,PNWR,PNWR,1,26.28,
17,,CW,CW,1,16.75,
17,,PNWR,4,4,19.9,
17,,PNWR,4,4,24.25,
17,,OV,OV,1,22.8,
17,,OV,OV,1,32,
17,,OV,OV,1,21.1,
17,,CNWR,CNWR,1,DEAD,
17,,CNWR,CNWR,1,DEAD,
17,,FR,FR,1,17.5,
17,,HNWR,4,4,24.25,
17,,CNWR,CNWR,1,14.75,
17,,CNWR,CNWR,1,DEAD,
17,,CNWR,CNWR,1,22.5,
17,,FR,FR,1,4.8,
17,,FR,FR,1,14,
17,,BD,4,4,9,
17,,GR,4,4,4.5,
17,,CNWR,CNWR,1,20.25,
17,,CNWR,CNWR,1,9.3,
17,,CNWR,CNWR,1,18.2,
17,,FR,FR,1,9.75,
17,,FR,FR,1,4.3,
17,,HNWR,4,4,44.75,
17,,HNWR,4,4,18.5,
17,,HNWR,4,4,5.25,
17,,CNWR,CNWR,1,16.2,
17,,CNWR,CNWR,1,10.7,
17,,HNWR,HNWR,1,18.75,
17,,HNWR,HNWR,1,22,
17,,HNWR,HNWR,1,26.4,
17,,MC,MC,1,8.5,
17,,MC,MC,1,10,
17,,MC,MC,1,6.75,
17,,HNWR,HNWR,1,17.75,
17,,HNWR,HNWR,1,DEAD,
17,,MC,MC,1,10,
17,,MC,MC,1,6.5,
17,,CW,16,16,10,
17,,HNWR,HNWR,1,21.1,
17,,HNWR,HNWR,1,18.75,
17,,HNWR,HNWR,1,21.5,
17,,MC,MC,1,11.5,
17,,MC,MC,1,9,
17,,MC,MC,1,10.75,
17,,MC,16,16,11,
17,,HNWR,16,16,1.8,
17,,HNWR,HNWR,1,19.3,
17,,HNWR,HNWR,1,15.5,
17,,HNWR,HNWR,1,21,
17,,MC,MC,1,9.5,
17,,MC,MC,1,2.5,
17,,MC,MC,1,2,
17,,OR,16,16,14.8,
17,,OV,16,16,15.1,
17,,SP,SP,1,13,
17,,SP,SP,1,9,
17,,NCC,NCC,1,6.4,
