"Cibola Survey, 2012",,,,,diamater at 30 cm (cm),
Block,Survey Date,Individual Genotype,Treatment,Number of Genotypes,Trunk 1 diameter (cm),trunk 2 diameter (cm)
3,41028,FC,FC,1,28.8,
3,41028,CW,CW,1,10.8,
3,41028,CW,CW,1,17.4,
3,41028,CW,CW,1,30.1,
3,41028,GR,GR,1,18,
3,41028,FC,FC,1,24.8,
3,41028,FC,FC,1,24.5,
3,41028,FC,FC,1,23.5,
3,41028,CW,CW,1,29.1,
3,41028,FC,FC,1,17.8,
3,41028,FC,FC,1,24.8,
3,41028,FC,FC,1,24.8,
3,41028,CW,CW,1,16.6,
3,41028,CW,CW,1,28.5,
3,41028,CW,8,8,21.1,
3,41028,PNWR,8,8,22.1,
3,41028,NCC,8,8,10,
3,41028,HP,HP,1,23.3,
3,41028,NCC,NCC,1,12.3,
3,41028,NCC,NCC,1,13.7,
3,41028,NCC,NCC,1,Dead,
3,41028,NCC,NCC,1,11.1,
3,41028,PNWR,PNWR,1,16.7,
3,41028,NCC,NCC,1,no data,
3,41028,NCC,NCC,1,13.8,
3,41028,NCC,NCC,1,9.6,
3,41028,PNWR,PNWR,1,20.9,
3,41028,PNWR,PNWR,1,25.5,
3,41028,HNWR,8,8,29.5,
3,41028,HP,HP,1,26.4,
3,41028,NCC,NCC,1,12.5,
3,41028,NCC,NCC,1,13.1,
3,41028,NCC,NCC,1,13.6,
3,41028,PNWR,PNWR,1,16.6,
3,41028,PNWR,PNWR,1,18.8,
3,41028,PNWR,8,8,26.2,
3,41028,B161,8,8,12,
3,41028,HP,HP,1,28,
3,41028,NCC,NCC,1,Dead,
3,41028,NCC,NCC,1,10,
3,41028,NCC,NCC,1,12.4,
3,41028,NCC,NCC,1,no data,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,KT,KT,1,dead,
4,41028,NCC,NCC,1,8.1,
4,41028,NCC,NCC,1,10.57,
4,41028,B161,B161,1,dead,
4,41028,B161,B161,1,dead,
4,41028,B161,B161,1,dead,
4,41028,PNWR,PNWR,1,20.75,
4,41028,PNWR,PNWR,1,dead,
4,41028,PNWR,PNWR,1,20.6,
4,41028,PNWR,PNWR,1,27.65,
4,41028,B161,B161,1,dead,
4,41028,B161,B161,1,dead,
4,41028,B161,B161,1,dead,
4,41028,CW,CW,1,27.03,
4,41028,B161,B161,1,dead,
4,41028,B161,B161,1,dead,
