Experiment;Block;Plot;Species richness;Tree species;Total earthworms;;Anecics;;Epigeics;;Endogeicss;
;;;;;Density;Biomass;Density;Biomass;Density ;Biomass;Density;Biomass
Kreinitz experiment;B;18;5;Es Bu Ei Ki Fi;0;0;0;0;4;0.32;4;0.32
Kreinitz experiment;B;19;5;Li Bu Ei Ki Fi;8;15.8;12;0.6;32;15.36;52;31.76
Kreinitz experiment;B;20;2;Es Li;0;0;4;0.12;0;0;4;0.12
Kreinitz experiment;B;21;3;Li Ki Fi;0;0;0;0;24;10.28;24;10.28
Kreinitz experiment;B;22;3;Li Ei Ki;24;26.6;36;2.04;48;24.44;108;53.08
Kreinitz experiment;B;23;3;Es Li Bu;24;28.16;0;0;44;9.76;68;37.92
Kreinitz experiment;B;24;0;null;NA;NA;NA;NA;NA;NA;NA;NA
Kreinitz experiment;B;25;3;Es Ki Fi;20;29.12;8;0.48;20;3.24;48;32.84
Kreinitz experiment;B;26;2;Bu Ki;20;13;0;0;16;6.28;36;19.28
Kreinitz experiment;B;27;3;Es Ei Fi;8;14.16;4;0.16;32;10.92;44;25.24
Kreinitz experiment;B;28;1;Li;16;27;12;0.76;24;3.24;52;31
Kreinitz experiment;B;29;1;Fi;0;0.44;0;0;12;4.12;12;4.56
Kreinitz experiment;B;30;3;Li Bu Ei;8;2.36;16;0.52;32;5.24;56;8.12
Kreinitz experiment;B;31;3;Es Li Fi;4;3.28;0;0;28;3.8;32;7.08
Kreinitz experiment;B;32;1;Bu;8;2.04;24;0.92;28;7.44;60;10.4
Kreinitz experiment;B;33;1;Ki;16;13.64;8;0.2;12;3.96;36;17.8
Kreinitz experiment;B;34;3;Ei Ki Fi;0;0;4;0.08;4;1.64;8;1.72
Kreinitz experiment;B;35;2;Li Ei;0;0;8;0.36;8;0.84;16;1.2
Kreinitz experiment;B;36;2;Li Bu;4;7.64;32;1.64;16;4.36;52;13.64
Kreinitz experiment;B;37;2;Ei Ki;12;17.4;8;0.28;20;6.6;40;24.28
Kreinitz experiment;B;38;3;Bu Ei Fi;16;7.12;16;1.28;28;8.68;60;17.08
Kreinitz experiment;B;39;3;Li Bu Fi;8;11.68;4;0.24;0;0;12;11.92
Kreinitz experiment;B;40;1;Es;4;1.96;24;2.04;16;3.76;44;7.76
Kreinitz experiment;B;41;5;Es Li Ei Ki Fi;8;15.68;24;1.32;16;5.36;48;22.36
Kreinitz experiment;B;42;3;Es Bu Ei;4;0.96;20;1.2;24;5.28;48;7.44
Kreinitz experiment;B;43;2;Es Ei;12;8.84;4;0.28;8;2.24;24;11.36
Kreinitz experiment;B;44;3;Bu Ki Fi;0;0;8;0.2;12;2.28;20;2.48
Kreinitz experiment;B;45;3;Es Li Ei;0;0;24;2.2;0;0;24;2.2
Kreinitz experiment;B;46;3;Es Bu Ki;8;8.08;16;0.72;0;0;24;8.8
Kreinitz experiment;B;47;2;Es Ki;4;5.64;8;0.32;16;5.76;28;11.72
Kreinitz experiment;B;48;5;Es Li Bu Ki Fi;16;15.84;12;0.52;8;4.56;36;20.92
Kreinitz experiment;B;49;3;Li Ei Fi;0;0;16;0.64;8;1.44;24;2.08
